uuid,id_b
bba91bda-47f7-4949-a468-bd0964794a01,b_25
aa14b18d-264e-4992-8b64-ee71e54700a8,b_23
592dd058-fa1b-445a-b0ca-e31d965be219,b_90
a9971a44-6d41-416d-b6f3-66fa89bf73de,b_78
99cf2383-3345-4214-977d-d08a0b98b935,b_51
0d2d3503-ad95-47af-8462-e3e4bde78644,b_0
085f7c22-0d2f-48bd-a8a2-02300b3fd935,b_20
8f7d9933-d35a-4c04-bcc8-0e62f1b1a111,b_64
a8648f7a-dc9b-473c-bf9a-8d8ac017235d,b_12
a6858e0f-04ea-42bd-ad19-d2cca0bb624c,b_62
efa52e4d-bac1-4f15-8294-6a94fce42000,b_61
5f6920be-febd-4257-b1be-2b23cb316a57,b_15
ce5d3867-1e20-4dc3-8a5d-0f236f66575c,b_59
33120216-732b-4129-ae68-1533b37b5f49,b_95
e8472cb6-a54b-41eb-9289-d5b95f0fdbfd,b_77
9420d5b5-fe47-4b69-bb16-3236bddbae69,b_67
7942b21f-c81d-430d-a01b-4fc9bd87804e,b_94
f5ed5dcb-2c25-4315-9ab2-6cb7a6cc9232,b_50
f269f683-98a3-42f6-bcb2-34f18602783e,b_33
05612585-836b-408a-ba3c-afe6019987f8,b_3
e0ba248b-5ca2-4fca-8d4a-2f836bbbb5d6,b_35
9af2062c-bda3-4b44-8e20-783e76565d5c,b_89
3b06ed6d-98e3-45ae-9255-702047e16d6b,b_29
8c89c9aa-f0a1-49f9-b66e-b20496035c31,b_31
e469d076-5b54-4482-900a-c4c5f40c9e13,b_69
2b305509-5e06-46e8-a010-055023ff90f1,b_83
8ef66d41-0f55-4d75-ba37-eef3e1588183,b_92
beb85fbf-6612-408d-b917-8c3781cfd11b,b_22
2a785a9d-510d-4cd7-95d6-84cea0cbc1c6,b_34
073d0523-0784-45ca-ad1e-4433b4306742,b_74
85ad472b-6715-4dad-8ed2-4d3f1494d745,b_58
2e5f09e8-94b5-4873-abfb-e330afa357ad,b_4
70559873-7324-4d6a-bea9-7a6c2caa11fe,b_11
4d40c54f-c726-421d-8762-9044b43e7671,b_80
804acb57-79f9-4b93-a4bc-0249a17b230a,b_44
b80f7c81-3765-414f-a11a-7556b198e6c1,b_82
4f893286-98e6-4494-9e89-782db93b3b69,b_70
c0023833-13ff-49b4-aea5-2b0574fcca5c,b_88
3251d60d-72b5-4c10-8cf2-499c608cfab5,b_5
29302bc4-fec3-42f8-80f6-49e4d16c34f1,b_14
d7fd8804-4281-4450-b0bd-93fafd859c34,b_65
679fdb5e-c4e1-4827-8b19-8a5927f5ebad,b_75
b0046658-5e95-4560-95a6-146e83e6768b,b_79
2d720239-1a21-4375-85be-c33d2fcb2add,b_37
99c9e682-f6bf-4a51-8701-3cebacae5eb1,b_76
762e1941-ae25-4273-b3b9-459ce7c9a265,b_45
eeaef989-5369-460a-a546-fc56e81aebcb,b_46
5aa979ba-f0f6-4aad-9abf-61f329afea06,b_10
994b9873-5e36-4a77-a344-0a38b6f8ca87,b_85
